Team,flag,PELE,Tilt,GF,GA,W,D,L,tilt_cat
EGY,:eg:,1744.5,Defensive (-.22),1.48,0.57,47.2,30.3,22.5,Defensive
SVK,:sk:,1744.1,Neutral (+.05),1.65,0.66,49.1,27.1,23.8,Neutral
PER,:pe:,1743.1,Defensive (-.26),1.45,0.55,46.7,31.0,22.3,Defensive
CIV,:ci:,1740.9,Neutral (-.07),1.56,0.62,48.0,28.5,23.5,Neutral
IRN,:ir:,1740.3,Defensive (-.20),1.48,0.58,47.0,30.2,22.8,Defensive
KOS,:xk:,1739.9,Lean Attack (+.12),1.67,0.69,49.1,26.5,24.4,Lean Attack
ROU,:ro:,1734.6,Neutral (-.04),1.55,0.65,47.6,28.4,24.0,Neutral
PAN,:pa:,1722.7,Neutral (+.04),1.55,0.70,47.0,27.7,25.2,Neutral
COD,:cd:,1717.5,Lean Defense (-.10),1.44,0.66,45.6,29.5,24.9,Lean Defense
ALB,:al:,1716.1,Defensive (-.33),1.29,0.57,43.5,32.8,23.7,Defensive
GEO,:ge:,1702.7,Neutral (+.04),1.46,0.74,45.1,28.2,26.7,Neutral
BIH,:ba:,1702.6,Attacking (+.25),1.59,0.82,46.3,26.0,27.7,Attacking
UZB,:uz:,1700.9,Neutral (+.01),1.44,0.73,44.8,28.5,26.7,Neutral
MLI,:ml:,1700.2,Defensive (-.29),1.26,0.62,42.4,32.5,25.0,Defensive
TUN,:tn:,1699.8,Defensive (-.27),1.27,0.63,42.6,32.2,25.2,Defensive
ISR,:il:,1698.0,Very Attack (+.48),1.71,0.92,47.1,24.0,28.9,Very Attack
NIR,:gb-nir:,1686.6,Defensive (-.26),1.22,0.65,41.4,32.4,26.2,Defensive
CMR,:cm:,1686.3,Defensive (-.28),1.21,0.65,41.3,32.6,26.1,Defensive
ISL,:is:,1678.3,Attacking (+.31),1.53,0.91,44.4,25.8,29.8,Attacking
MKD,:mk:,1665.6,Neutral (+.07),1.34,0.84,41.9,28.4,29.7,Neutral
RSA,:za:,1665.4,Defensive (-.20),1.19,0.72,40.1,31.7,28.2,Defensive
CRC,:cr:,1660.0,Neutral (-.08),1.23,0.79,40.4,30.3,29.3,Neutral
JOR,:jo:,1657.7,Neutral (-.06),1.24,0.80,40.4,30.0,29.7,Neutral
BFA,:bf:,1651.7,Neutral (-.02),1.24,0.83,40.1,29.6,30.4,Neutral
FIN,:fi:,1644.9,Neutral (-.02),1.21,0.85,39.5,29.7,30.9,Neutral
GHA,:gh:,1641.0,Lean Defense (-.19),1.11,0.78,38.0,31.9,30.1,Lean Defense
IRQ,:iq:,1639.7,Defensive (-.25),1.07,0.76,37.4,32.7,29.8,Defensive
BOL,:bo:,1636.1,Attacking (+.25),1.33,0.99,40.2,26.8,33.0,Attacking
NZL,:nz:,1626.3,Neutral (-.05),1.14,0.88,37.7,30.1,32.3,Neutral
HAI,:ht:,1621.8,Lean Attack (+.15),1.23,0.99,38.4,27.8,33.8,Lean Attack
KSA,:sa:,1614.0,Lean Defense (-.19),1.03,0.85,35.7,31.9,32.4,Lean Defense
HON,:hn:,1609.3,Neutral (+.01),1.11,0.96,36.6,29.4,34.1,Neutral
ANG,:ao:,1602.2,Defensive (-.26),0.96,0.84,34.2,33.0,32.8,Defensive
CPV,:cv:,1600.2,Lean Defense (-.16),1.00,0.90,34.7,31.5,33.7,Lean Defense
JAM,:jm:,1597.3,Defensive (-.21),0.97,0.89,34.2,32.2,33.6,Defensive
GUI,:gn:,1591.5,Neutral (+.02),1.06,1.01,35.1,29.2,35.6,Neutral
BLR,:by:,1588.9,Neutral (-.02),1.04,1.00,34.7,29.7,35.6,Neutral
BUL,:bg:,1588.6,Lean Attack (+.11),1.10,1.07,35.4,28.2,36.4,Lean Attack
UAE,:ae:,1575.9,Neutral (+.04),1.03,1.07,33.9,28.9,37.1,Neutral
MNE,:me:,1572.0,Neutral (+.08),1.04,1.11,33.9,28.4,37.8,Neutral
GUA,:gt:,1570.5,Neutral (-.04),0.98,1.05,33.1,29.8,37.1,Neutral
GAM,:gm:,1565.2,Neutral (+.03),0.99,1.10,33.0,28.9,38.0,Neutral
LUX,:lu:,1559.9,Neutral (-.03),0.95,1.09,32.3,29.5,38.2,Neutral
CUW,:cw:,1549.1,Lean Attack (+.13),0.99,1.21,32.3,27.6,40.1,Lean Attack
KAZ,:kz:,1548.5,Neutral (+.04),0.95,1.17,31.8,28.5,39.7,Neutral
BEN,:bj:,1546.1,Neutral (+.03),0.94,1.17,31.5,28.7,39.8,Neutral
GAB,:ga:,1543.2,Neutral (-.03),0.90,1.14,31.0,29.4,39.6,Neutral
SUR,:sr:,1538.3,Attacking (+.21),1.00,1.29,31.8,26.6,41.6,Attacking
QAT,:qa:,1537.5,Attacking (+.21),1.00,1.30,31.7,26.5,41.7,Attacking
SYR,:sy:,1537.4,Neutral (+.04),0.92,1.20,30.9,28.4,40.7,Neutral
UGA,:ug:,1532.1,Defensive (-.39),0.72,0.98,27.9,34.3,37.8,Defensive
PLE,:ps:,1531.4,Neutral (-.08),0.86,1.15,29.8,29.8,40.4,Neutral
ZAM,:zm:,1526.7,Lean Defense (-.13),0.82,1.14,29.2,30.3,40.5,Lean Defense
OMA,:om:,1524.0,Defensive (-.29),0.75,1.06,28.1,32.4,39.5,Defensive
LBY,:ly:,1521.9,Lean Defense (-.14),0.81,1.16,28.8,30.3,40.9,Lean Defense
NIG,:ne:,1521.3,Neutral (+.07),0.89,1.28,29.8,27.8,42.3,Neutral
COM,:km:,1519.6,Lean Defense (-.15),0.80,1.15,28.6,30.5,41.0,Lean Defense
EQG,:gq:,1519.0,Lean Defense (-.15),0.80,1.16,28.5,30.4,41.1,Lean Defense
MAD,:mg:,1514.9,Neutral (+.05),0.87,1.29,29.2,28.0,42.8,Neutral
TRI,:tt:,1512.0,Attacking (+.24),0.94,1.41,29.9,25.8,44.3,Attacking
MOZ,:mz:,1510.0,Neutral (-.04),0.82,1.26,28.5,28.8,42.7,Neutral
FRO,:fo:,1509.1,Lean Defense (-.13),0.78,1.20,27.9,30.0,42.1,Lean Defense
ARM,:am:,1508.4,Attacking (+.30),0.95,1.46,29.8,25.3,44.9,Attacking
ZIM,:zw:,1508.3,Neutral (-.07),0.81,1.24,28.2,29.2,42.7,Neutral
CHN,:cn:,1503.9,Lean Defense (-.10),0.78,1.24,27.7,29.4,42.9,Lean Defense
SLE,:sl:,1501.9,Defensive (-.20),0.74,1.18,27.0,30.8,42.2,Defensive
TAN,:tz:,1498.6,Defensive (-.28),0.70,1.15,26.3,31.7,42.0,Defensive
KEN,:ke:,1497.2,Lean Defense (-.18),0.74,1.22,26.8,30.3,42.9,Lean Defense
TOG,:tg:,1492.9,Lean Defense (-.14),0.74,1.26,26.7,29.7,43.6,Lean Defense
EST,:ee:,1483.9,Neutral (-.07),0.75,1.33,26.4,28.6,45.0,Neutral
AZE,:az:,1483.4,Lean Defense (-.19),0.70,1.26,25.8,30.1,44.1,Lean Defense
DOM,:do:,1483.3,Attacking (+.26),0.88,1.54,27.9,25.0,47.1,Attacking
CYP,:cy:,1479.9,Attacking (+.22),0.85,1.53,27.4,25.4,47.2,Attacking
BHR,:bh:,1479.0,Lean Defense (-.19),0.70,1.28,25.5,29.9,44.6,Lean Defense
LVA,:lv:,1478.3,Neutral (-.08),0.74,1.35,26.0,28.6,45.4,Neutral
SDN,:sd:,1477.6,Defensive (-.29),0.66,1.23,24.9,31.2,43.9,Defensive
RWA,:rw:,1472.9,Defensive (-.31),0.64,1.23,24.5,31.4,44.1,Defensive
LTU,:lt:,1470.1,Lean Defense (-.16),0.69,1.33,25.0,29.4,45.6,Lean Defense
BDI,:bi:,1469.7,Neutral (-.07),0.72,1.39,25.5,28.2,46.3,Neutral
SLV,:sv:,1468.7,Defensive (-.20),0.67,1.32,24.8,29.8,45.4,Defensive
NCA,:ni:,1462.3,Lean Attack (+.14),0.78,1.56,25.9,25.7,48.4,Lean Attack
MTN,:mr:,1460.2,Defensive (-.27),0.63,1.30,23.8,30.6,45.6,Defensive
THA,:th:,1458.3,Lean Attack (+.15),0.78,1.58,25.6,25.5,48.9,Lean Attack
IDN,:id:,1449.6,Attacking (+.31),0.81,1.72,25.6,23.7,50.7,Attacking
PRK,:kp:,1449.3,Lean Defense (-.13),0.66,1.44,23.8,28.3,47.8,Lean Defense
NAM,:na:,1444.6,Lean Defense (-.17),0.64,1.44,23.4,28.6,48.0,Lean Defense
ETH,:et:,1441.7,Neutral (+.04),0.70,1.58,24.1,26.1,49.8,Neutral
GNB,:gw:,1441.2,Neutral (-.08),0.66,1.51,23.6,27.4,49.0,Neutral
LBN,:lb:,1437.3,Defensive (-.27),0.59,1.40,22.4,29.7,47.9,Defensive
MLT,:mt:,1435.8,Lean Defense (-.11),0.64,1.51,23.1,27.6,49.4,Lean Defense
LBR,:lr:,1433.7,Lean Defense (-.11),0.64,1.52,22.9,27.5,49.5,Lean Defense
GUY,:gy:,1430.8,Very Attack (+.50),0.84,1.94,24.9,21.6,53.5,Very Attack
VIE,:vn:,1424.0,Neutral (+.05),0.67,1.67,23.0,25.5,51.6,Neutral
CTA,:cf:,1419.9,Attacking (+.29),0.74,1.85,23.6,23.0,53.4,Attacking
TJK,:tj:,1418.3,Neutral (-.01),0.64,1.66,22.4,25.8,51.8,Neutral
CGO,:cg:,1412.4,Lean Attack (+.12),0.67,1.77,22.5,24.3,53.2,Lean Attack
BOT,:bw:,1411.4,Defensive (-.35),0.53,1.46,20.5,29.7,49.8,Defensive
CUB,:cu:,1407.5,Neutral (+.06),0.65,1.76,22.0,24.8,53.3,Neutral
MDA,:md:,1404.1,Neutral (-.07),0.60,1.69,21.3,25.9,52.8,Neutral
KGZ,:kg:,1398.6,Neutral (+.08),0.64,1.81,21.5,24.2,54.3,Neutral
KUW,:kw:,1397.9,Neutral (+.07),0.63,1.81,21.4,24.3,54.3,Neutral
PUR,:pr:,1394.8,Attacking (+.24),0.68,1.94,21.8,22.6,55.5,Attacking
MWI,:mw:,1393.7,Defensive (-.38),0.49,1.52,19.3,29.4,51.3,Defensive
MAS,:my:,1373.5,Attacking (+.29),0.65,2.10,20.6,21.4,58.0,Attacking
NCL,:nc:,1359.8,Lean Attack (+.18),0.60,2.09,19.5,21.8,58.6,Lean Attack
LES,:ls:,1345.1,Defensive (-.30),0.45,1.82,17.1,26.1,56.8,Defensive
TKM,:tm:,1337.0,Lean Attack (+.12),0.54,2.18,18.1,21.4,60.5,Lean Attack
ERI,:er:,1330.5,Lean Defense (-.12),0.48,2.04,17.1,23.5,59.5,Lean Defense
VIN,:vc:,1328.2,Very Attack (+.60),0.65,2.59,18.7,17.5,63.8,Very Attack
YEM,:ye:,1323.1,Lean Defense (-.10),0.47,2.09,16.7,22.9,60.4,Lean Defense
SWZ,:sz:,1317.9,Lean Defense (-.16),0.45,2.08,16.2,23.3,60.5,Lean Defense
PHI,:ph:,1317.3,Lean Attack (+.18),0.53,2.34,17.2,20.1,62.8,Lean Attack
CHA,:td:,1314.3,Neutral (+.05),0.49,2.26,16.7,21.1,62.2,Neutral
SSD,:ss:,1313.4,Lean Defense (-.14),0.45,2.12,16.1,22.9,61.0,Lean Defense
AND,:ad:,1309.8,Very Defense (-.69),0.32,1.72,13.8,29.7,56.5,Very Defense
BER,:bm:,1309.7,Very Attack (+.48),0.59,2.62,17.4,17.6,64.9,Very Attack
GRN,:gd:,1303.7,Very Attack (+.43),0.56,2.62,17.0,17.7,65.3,Very Attack
SOM,:so:,1286.7,Lean Defense (-.11),0.42,2.30,14.9,21.3,63.7,Lean Defense
IND,:in:,1284.8,Lean Defense (-.11),0.42,2.32,14.8,21.2,64.0,Lean Defense
MRI,:mu:,1283.4,Lean Defense (-.10),0.42,2.34,14.8,21.0,64.2,Lean Defense
HKG,:hk:,1280.3,Neutral (-.06),0.42,2.39,14.7,20.5,64.8,Neutral
ARU,:aw:,1263.4,Very Attack (+.47),0.51,2.92,15.0,15.9,69.0,Very Attack
TAH,:pf:,1259.5,Attacking (+.23),0.46,2.75,14.4,17.3,68.2,Attacking
SGP,:sg:,1258.2,Lean Attack (+.18),0.44,2.73,14.2,17.6,68.2,Lean Attack
SKN,:kn:,1252.4,Attacking (+.29),0.46,2.86,14.2,16.6,69.2,Attacking
STP,:st:,1249.1,Lean Attack (+.10),0.42,2.72,13.7,17.8,68.5,Lean Attack
LCA,:lc:,1239.3,Attacking (+.29),0.44,2.95,13.6,16.1,70.4,Attacking
BLZ,:bz:,1239.1,Neutral (-.02),0.39,2.70,13.0,18.3,68.7,Neutral
FIJ,:fj:,1234.2,Lean Attack (+.18),0.42,2.90,13.2,16.6,70.3,Lean Attack
PNG,:pg:,1228.5,Attacking (+.35),0.44,3.08,13.2,15.3,71.5,Attacking
MSR,:ms:,1220.1,Attacking (+.26),0.41,3.07,12.7,15.5,71.8,Attacking
AFG,:af:,1209.7,Neutral (-.02),0.35,2.91,11.8,16.9,71.3,Neutral
BRB,:bb:,1206.1,Attacking (+.26),0.39,3.17,12.1,14.9,73.0,Attacking
GIB,:gi:,1204.5,Defensive (-.21),0.32,2.78,11.2,18.2,70.6,Defensive
SOL,:sb:,1204.1,Very Attack (+.44),0.42,3.33,12.2,13.8,74.0,Very Attack
DJI,:dj:,1197.4,Attacking (+.23),0.38,3.21,11.7,14.7,73.6,Attacking
ATG,:ag:,1196.6,Attacking (+.33),0.39,3.30,11.8,14.1,74.1,Attacking
VAN,:vu:,1190.5,Attacking (+.38),0.40,3.40,11.6,13.6,74.8,Attacking
LIE,:li:,1188.9,Defensive (-.23),0.30,2.89,10.5,17.6,71.9,Defensive
DMA,:dm:,1177.9,Lean Attack (+.10),0.34,3.26,10.7,14.7,74.6,Lean Attack
MYA,:mm:,1151.5,Attacking (+.37),0.35,3.71,10.0,12.1,77.8,Attacking
BAN,:bd:,1125.3,Defensive (-.31),0.24,3.33,8.3,15.1,76.6,Defensive
SEY,:sc:,1118.5,Lean Attack (+.12),0.29,3.77,8.7,12.1,79.2,Lean Attack
CAY,:ky:,1115.2,Neutral (+.04),0.28,3.73,8.5,12.5,79.0,Neutral
TPE,:tw:,1115.2,Very Attack (+.49),0.32,4.13,8.9,10.3,80.8,Very Attack
CAM,:kh:,1102.9,Very Attack (+.42),0.31,4.18,8.4,10.2,81.4,Very Attack
SMR,:sm:,1100.6,Very Defense (-.42),0.22,3.46,7.5,14.6,78.0,Very Defense
SRI,:lk:,1090.8,Neutral (+.04),0.26,3.95,7.7,11.5,80.8,Neutral
PAK,:pk:,1080.5,Neutral (-.02),0.24,3.99,7.4,11.4,81.2,Neutral
NEP,:np:,1074.6,Defensive (-.34),0.21,3.76,6.9,12.9,80.2,Defensive
VGB,:vg:,1058.9,Attacking (+.24),0.25,4.43,7.0,9.4,83.5,Attacking
MNG,:mn:,1047.6,Neutral (-.04),0.22,4.29,6.5,10.2,83.2,Neutral
MDV,:mv:,1044.6,Attacking (+.22),0.24,4.56,6.6,9.0,84.4,Attacking
GUM,:gu:,1044.1,Very Attack (+.40),0.25,4.72,6.7,8.4,84.9,Very Attack
BAH,:bs:,1037.7,Very Attack (+.44),0.25,4.82,6.6,8.1,85.3,Very Attack
LAO,:la:,1020.9,Very Attack (+.52),0.24,5.07,6.1,7.3,86.5,Very Attack
VIR,:vi:,990.3,Attacking (+.33),0.21,5.22,5.4,7.0,87.6,Attacking
SAM,:ws:,977.4,Very Attack (+.44),0.21,5.46,5.2,6.4,88.4,Very Attack
AIA,:ai:,977.2,Attacking (+.23),0.19,5.26,5.1,7.0,87.9,Attacking
TLS,:tl:,965.5,Attacking (+.23),0.19,5.39,4.8,6.7,88.5,Attacking
MAC,:mo:,963.4,Attacking (+.31),0.19,5.49,4.8,6.4,88.8,Attacking
TCA,:tc:,961.6,Attacking (+.28),0.19,5.48,4.8,6.4,88.8,Attacking
BRU,:bn:,926.3,Attacking (+.29),0.17,5.90,4.1,5.5,90.4,Attacking
COK,:ck:,901.2,Lean Attack (+.19),0.15,6.10,3.7,5.2,91.1,Lean Attack
TGA,:to:,888.7,Attacking (+.29),0.15,6.35,3.5,4.7,91.8,Attacking
BHU,:bt:,853.7,Lean Attack (+.10),0.12,6.62,2.9,4.3,92.7,Lean Attack
ASA,:as:,826.3,Very Attack (+.58),0.13,7.43,2.7,3.1,94.2,Very Attack
